ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.1757334470749 36.2036331877354),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1751111745834 36.204126654735),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1662920713425 36.1966593872626),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1735018491745 36.2031440463234),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1727186441422 36.1991312398822),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1731960773468 36.2019623026889),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1768224239349 36.2001528584511),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1494746208191 36.1913950767864),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1486914157867 36.1885549728538),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.151974439621 36.185887952222),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565771102905 36.1847275967134),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1597099304199 36.1845284294871),Yes   ,75.0,Very busy   ,No   ,No   
None,POINT (37.1640765666962 36.1858359963729),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1767902374268 36.1893775745276),Yes   ,75.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1908557415009 36.1953433428241),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1875834465027 36.1954818748594),Yes   ,75.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1835601329803 36.2031094167271),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.181875705719 36.1998455085041),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.178635597229 36.2016549598461),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1785712242126 36.2101302540423),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1823263168335 36.2080180091772),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1830666065216 36.2082950281453),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1487236022949 36.1905638375163),"No, it appears closed   ",0.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1750521659851 36.188381792453),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1731424331665 36.1877583398397),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1770906448364 36.1999234283232),Yes   ,80.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1841716766357 36.2009710094709),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1827661991119 36.2015424114609),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1810495853424 36.2008757754004),Yes   ,75.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1717798709869 36.2050746220846),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1756207942963 36.2079747248748),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1763288974762 36.2084768213102),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1850299835205 36.2089096604795),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1886885166168 36.2099224947803),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.19502389431 36.2099008531588),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1995139122009 36.20326524979),Yes   ,75.0,Somewhat busy   ,Yes   ,Yes   
None,POINT (37.2051250934601 36.2111257595191),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2029793262482 36.208528762137),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1946966648102 36.2066761846727),Yes   ,75.0,Works with the Council   ,Yes   ,No   
None,POINT (37.192679643631 36.2094636911228),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913492679596 36.2077669598903),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1454620361328 36.2239493345123),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.142972946167 36.2254812714152),Yes   ,0.0,Closed   ,No   ,No   
None,POINT (37.1452850103378 36.2161420487624),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1365946531296 36.2177130896115),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1286499500275 36.2243388128406),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1186184883118 36.2146618657114),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.109831571579 36.2152071995671),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1236395835876 36.2185397127633),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1232211589813 36.2263727237117),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1142786741257 36.2279954870022),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1401941776276 36.2094983179078),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1330595016479 36.2241267637691),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1326088905334 36.2341833153222),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1895575523376 36.2281253066108),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2021746635437 36.2185873190662),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1960270404816 36.2156702975554),"No, it appears closed   ",75.0,Closed   ,No   ,Yes   
None,POINT (37.1949219703674 36.2319678694282),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1597850322723 36.2306956904849),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603214740753 36.2294407998218),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1571779251099 36.2300466116217),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1578538417816 36.2300466116217),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1589750051498 36.2278656671781),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.15864777565 36.2279002858189),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1338534355164 36.2380169269062),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1360206604004 36.2353429377539),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1710824966431 36.2334909952235),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538627147675 36.2313361096829),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.162960767746 36.2295186901733),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1792578697205 36.2385794048906),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1880340576172 36.2284714911802),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1754813194275 36.2225861450905),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803414821625 36.219980872553),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913599967957 36.2155664253479),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861243247986 36.2152028715356),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.168545126915 36.2295576353199),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1664369106293 36.2327986689946),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722090244293 36.231656317315),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1721875667572 36.2313966896058),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718013286591 36.2301115197505),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1753740310669 36.2327164548478),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796494722366 36.2332616628392),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1771603822708 36.2323746161522),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1775197982788 36.2378178952653),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877765655518 36.2178688935961),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1876156330109 36.2155577693243),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051465511322 36.2284888003684),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1986556053162 36.2231054581478),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1978133916855 36.2158823695508),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877658367157 36.2150730304789),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1755027770996 36.2284628365846),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1717798709869 36.2296917795655),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1701008081436 36.2275151525765),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1699613332748 36.2277618111636),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1707928180695 36.2280344329074),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1736198663712 36.229977376225),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1286821365356 36.2243388128406),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1365946531296 36.2177087617186),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1330595016479 36.2241181086927),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.145311832428 36.2161377207826),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1142518520355 36.2279998143259),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1429836750031 36.2254639615613),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1232265233994 36.2263683962979),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1236181259155 36.2185656798412),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1186399459839 36.2146488815257),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1401834487915 36.209489661213),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1454513072968 36.2239406794164),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1603751182556 36.1930661873686),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.151974439621 36.185887952222),Yes   ,40.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1587228775024 36.1916808132477),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1598386764526 36.1912305613812),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1592164039612 36.190243461692),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.163679599762 36.1948844537068),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.162606716156 36.204996707393),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.16224193573 36.2067454406941),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1595811843872 36.2081651756261),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556329727173 36.2065030443513),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1566843986511 36.2088577199055),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1600961685181 36.2031786759044),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1576285362244 36.2099484647182),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1610617637634 36.2046331044735),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1616840362549 36.2119048419279),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1731317043304 36.1877237034379),Yes   ,40.0,Somewhat busy   ,No   ,No   
None,POINT (37.109842300415 36.2152028715356),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1602892875671 36.1922003314153),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1550750732422 36.1965468316954),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1515130996704 36.2018107958045),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1654176712036 36.2045292176148),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1645164489746 36.20761113579),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617484092712 36.2066934986838),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1574354171753 36.2070570920317),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625852584839 36.2108660636592),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1579718589783 36.2104505484906),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1612763404846 36.2102947297335),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1669626235962 36.1943303198673),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1597099304199 36.1933778931681),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1542596817017 36.2000446367764),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.151083946228 36.1833983623761),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1537232398987 36.1802592015268),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.132533788681 36.1821383832719),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1317613124847 36.1799474435138),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1245837211609 36.1738592536603),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.124599814415 36.1815798293507),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1211558580399 36.181255086868),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1231353282928 36.1792113432824),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.120453119278 36.1769163981684),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565878391266 36.157792128986),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.13270008564 36.1873297132891),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1163010597229 36.1909751288829),Yes   ,150.0,Very busy   ,No   ,Yes   
None,POINT (37.1406877040863 36.1761802694588),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400600671768 36.1764487407305),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549999713898 36.1830996062772),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1568882465362 36.1847708938694),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326088905334 36.180761475716),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1298944950104 36.1815581798937),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1294277906418 36.1740454570911),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1242082118988 36.1849137743147),"No, it appears closed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1280062198639 36.1929233217958),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1529293060303 36.1594639563766),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1442604064941 36.1932653328836),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1424579620361 36.1920877694381),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1239721775055 36.1895420938255),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.118479013443 36.1917587411925),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1420449018478 36.1812810663161),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416532993317 36.1767085507628),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1423560380936 36.1763015146632),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1364605426788 36.1714688819487),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1772301197052 36.2323616349065),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796172857285 36.2332183925025),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1753525733948 36.2327510713412),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1736252307892 36.229999012293),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718388795853 36.2300812292971),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722304821014 36.2313707267874),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722090244293 36.2316736257983),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1664905548096 36.2327813607604),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1685826778412 36.2295446536065),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1708142757416 36.228038760229),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1699506044388 36.2277098831047),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1700793504715 36.2275324619764),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1718066930771 36.2296614889495),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1755617856979 36.2284758184776),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1878409385681 36.2151076547818),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1977972984314 36.2158477455908),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1987414360046 36.223018906211),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2050338983536 36.2284238908928),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1876531839371 36.2155750813704),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861135959625 36.2152201836602),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877604722977 36.2178948608966),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913278102875 36.2155750813704),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803361177444 36.2199852003202),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1754759550095 36.2226856803602),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1879911422729 36.2285320733223),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.179349064827 36.2385967118413),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1774822473526 36.2378049149234),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1586906909943 36.2279132678052),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1589857339859 36.2278786491702),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1578270196915 36.2300725748797),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1629500389099 36.2295100356936),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1571242809296 36.2300682476706),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1597957611084 36.2306783817852),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538358926773 36.2313534182371),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1949219703674 36.2320803740529),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2021853923798 36.2185526963033),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326732635498 36.2341140835882),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1621775627136 36.2283762905764),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1603322029114 36.2294407998218),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1711039543152 36.2335429194436),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1959465742111 36.2156832815716),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1897345781326 36.2275887174997),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1360582113266 36.235351591588),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1338266134262 36.2380818284186),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1950614452362 36.2098272716009),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1927118301392 36.2094636911228),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.1947073936462 36.2067281266945),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.1906089782715 36.2082171166596),Yes   ,50.0,Somewhat busy   ,No   ,No   
None,POINT (37.188715338707 36.2099051814836),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.2050929069519 36.2111430725458),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.2030007839203 36.208494134923),Yes   ,40.0,Works with the Council   ,Yes   ,No   
None,POINT (37.1911239624023 36.2076284495942),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.18998670578 36.2083036849722),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1822834014893 36.2080266660348),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.1785175800323 36.2100436877502),Yes   ,40.0,Very busy   ,No   ,No   
None,POINT (37.1755617856979 36.2080266660348),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1717262268066 36.2050659649005),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.1826589107513 36.2015683841796),Yes   ,40.0,Somewhat busy   ,No   ,No   
None,POINT (37.1810817718506 36.2009017483402),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1797513961792 36.2111603855686),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.176296710968 36.2084551792889),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1830987930298 36.2081998029856),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.1845149993896 36.2086326436869),Yes   ,45.0,Somewhat busy   ,No   ,No   
None,POINT (37.1769189834595 36.2002177913841),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1786570549011 36.2016116720248),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1854269504547 36.2009363789132),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.183501124382 36.2028626804096),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1818542480469 36.1998628240261),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1963810920715 36.2010835586776),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1994924545288 36.2031959906892),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835172176361 36.1984862280726),Yes   ,45.0,Works with the Council   ,No   ,No   
None,POINT (37.1827340126038 36.1952134688185),Yes   ,45.0,Not busy   ,No   ,Yes   
None,POINT (37.1873795986176 36.1955251660701),Yes   ,40.0,Somewhat busy   ,No   ,No   
None,POINT (37.1908986568451 36.1953693175994),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1767795085907 36.1893602566867),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1751058101654 36.1884077695376),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1638834476471 36.1858706336095),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1596884727478 36.184519770031),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1565985679626 36.1847708938694),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1487128734589 36.1884337466135),Yes   ,35.0,Very busy   ,No   ,Yes   
None,POINT (37.148745059967 36.1904599319871),Yes   ,40.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1494317054749 36.1914297115645),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1470391750336 36.1990706349719),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1512234210968 36.214674849895),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.150536775589 36.214034294269),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1514272689819 36.216198312478),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614050865173 36.2132032953722),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1631860733032 36.2139131074796),Yes   ,175.0,Somewhat busy   ,No   ,No   
None,POINT (37.1556973457336 36.2122684110642),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1612977981567 36.2157135776011),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.164580821991 36.2185526963033),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.1658682823181 36.2157828256245),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1402049064636 36.2093944375069),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.1411275863647 36.204563846583),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998430252075 36.2019752889797),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1659755706787 36.2084768213102),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1148633956909 36.1817053960831),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1640229225159 36.2169427209057),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.175395488739 36.2161290648223),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1528434753418 36.2103293561508),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1065163612366 36.1961312405072),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1668982505798 36.2057412223865),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.166576385498 36.2164233669357),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1767473220825 36.2002177913841),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1727132797241 36.1991009374329),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1750950813293 36.2040963542194),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1704387664795 36.2029882130192),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1698808670044 36.1982438061527),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1731853485107 36.2019060287376),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1734428405762 36.2031873332973),Yes   ,65.0,Works with the Council   ,No   ,No   
